team,rating,matches_played,last_match_date
Chagos Islands,1415.11,16,2019-12-29
Raetia,1412.15,26,2023-08-06
Liberia,1410.39,301,2026-06-06
Hitra,1404.39,23,2025-07-17
Turkmenistan,1398.65,175,2025-11-18
Darfur,1394.87,7,2014-06-07
Rwanda,1394.4,280,2026-03-30
Saint Pierre and Miquelon,1394.09,7,2012-09-28
Cuba,1392.9,397,2026-03-29
Vietnam Republic,1392.55,195,1975-03-23
Yemen DPR,1389.49,25,1989-11-05
Azerbaijan,1384.03,309,2026-06-05
Burundi,1383.98,218,2026-05-26
Botswana,1383.91,332,2026-03-31
Faroe Islands,1382.44,286,2026-06-06
Saare County,1373.58,35,2017-06-29
Ethiopia,1371.7,408,2026-06-06
Puerto Rico,1368.17,163,2026-06-05
Wallis Islands and Futuna,1367.45,24,1995-08-20
Guinea-Bissau,1364.02,190,2026-03-31
Cyprus,1362.52,426,2026-06-07
Saint Vincent and the Grenadines,1362.1,236,2026-03-29
Congo,1362.04,406,2025-10-14
Bermuda,1361.58,198,2026-06-06
Kiribati,1361.18,11,2011-09-05
Lesotho,1361.16,296,2026-06-04
Central African Republic,1357.57,137,2026-06-05
Tibet,1348.92,21,2025-07-03
Hong Kong,1346.65,446,2026-06-05
Latvia,1344.15,460,2026-06-06
Sint Maarten,1336.69,60,2026-03-30
Philippines,1335.47,341,2026-06-03
Lithuania,1330.7,432,2026-06-06
Malta,1324.89,458,2026-06-05
Falkland Islands,1324.84,33,2023-07-13
Frøya,1319.69,37,2025-07-17
Singapore,1319.15,696,2026-06-05
Saint Kitts and Nevis,1318.53,226,2026-03-30
Tuvalu,1317.95,39,2023-11-30
Saint Martin,1307.45,68,2026-03-29
Yemen,1306.53,266,2025-11-26
Grenada,1305.62,260,2026-05-16
Belize,1303.29,121,2026-03-30
India,1299.79,533,2026-06-05
Eswatini,1291.42,274,2025-10-13
Moldova,1288.91,298,2026-06-05
Saint Lucia,1283.77,230,2026-03-27
South Sudan,1283.38,78,2025-11-25
Montserrat,1271.79,66,2025-06-10
Samoa,1266.98,71,2024-11-18
Afghanistan,1262.31,146,2026-06-07
Chad,1255.23,138,2025-11-17
Bonaire,1247.06,44,2026-06-06
Aruba,1229.47,152,2026-06-06
Eritrea,1229.06,71,2019-09-10
Dominica,1224.37,215,2026-03-30
Cook Islands,1224.07,53,2024-09-06
Mauritius,1220.62,325,2025-10-13
São Tomé and Príncipe,1218.55,71,2025-10-13
Antigua and Barbuda,1212.85,231,2025-11-18
Barbados,1201.9,302,2026-03-29
Myanmar,1194.5,511,2026-06-06
Gibraltar,1183.7,160,2026-06-06
Tonga,1181.79,68,2024-09-09
Northern Mariana Islands,1173.72,30,2024-04-07
Bangladesh,1172.13,305,2026-06-05
Nepal,1167.26,268,2025-11-18
Alderney,1150.49,135,2022-04-23
Taiwan,1137.62,245,2025-11-18
Cayman Islands,1132.2,120,2026-06-06
Turks and Caicos Islands,1131.57,52,2025-08-16
Andorra,1123.49,229,2026-06-07
Maldives,1115.52,233,2026-06-01
American Samoa,1111.98,55,2026-03-28
Somalia,1110.09,124,2025-11-26
Cambodia,1109.59,294,2026-06-04
Pakistan,1109.3,250,2026-06-07
Mongolia,1098.77,103,2026-06-05
Bahamas,1097.61,67,2026-03-29
Djibouti,1091.81,111,2025-11-26
Guam,1078.96,123,2026-06-06
British Virgin Islands,1075.96,123,2026-06-06
Sri Lanka,1071.59,251,2025-11-18
Seychelles,1067.72,176,2025-10-14
United States Virgin Islands,1060.51,78,2026-03-28
Laos,1028.17,224,2025-11-19
Liechtenstein,1025.95,259,2026-06-07
Brunei,1002.38,137,2025-11-18
Anguilla,994.95,91,2026-03-29
Timor-Leste,994.02,86,2025-11-18
Macau,959.12,148,2026-03-29
Bhutan,954.13,110,2026-06-04
San Marino,934.0,224,2026-06-05
