date,home_team,away_team,home_team_canon,away_team_canon,home_score,away_score,tournament,competition_category,tournament_tier,tournament_weight,is_competitive,is_fifa,city,country,neutral
1979-06-24,Morocco,Togo,Morocco,Togo,7,0,African Cup of Nations qualification,continental_qualifier,4,0.55,True,True,Mohammedia,Morocco,False
1979-06-26,Malawi,Lesotho,Malawi,Lesotho,1,2,Friendly,friendly,5,0.2,False,True,Blantyre,Malawi,False
1979-06-27,Denmark,Russia,Denmark,Russia,1,2,Friendly,friendly,5,0.2,False,True,Copenhagen,Denmark,False
1979-06-28,Sweden,Norway,Sweden,Norway,2,0,Nordic Championship,minor_tournament,5,0.2,False,True,Gothenburg,Sweden,False
1979-06-29,Malaysia,Japan,Malaysia,Japan,1,1,Merdeka Tournament,minor_tournament,5,0.2,False,True,Kuala Lumpur,Malaysia,False
1979-06-29,Fiji,New Zealand,Fiji,New Zealand,0,6,Friendly,friendly,5,0.2,False,True,Suva,Fiji,False
1979-06-29,Japan,Thailand,Japan,Thailand,2,0,Merdeka Tournament,minor_tournament,5,0.2,False,True,Kuala Lumpur,Malaysia,True
1979-06-29,Malaysia,Myanmar,Malaysia,Myanmar,4,1,Merdeka Tournament,minor_tournament,5,0.2,False,True,Kuala Lumpur,Malaysia,False
1979-06-29,Sudan,Ivory Coast,Sudan,Ivory Coast,2,0,African Cup of Nations qualification,continental_qualifier,4,0.55,True,True,Khartoum,Sudan,False
1979-06-30,Kenya,Egypt,Kenya,Egypt,3,1,African Cup of Nations qualification,continental_qualifier,4,0.55,True,True,Nairobi,Kenya,False
1979-06-30,DR Congo,Zambia,DR Congo,Zambia,1,2,Friendly,friendly,5,0.2,False,True,Lubumbashi,Zaïre,False
1979-06-30,Indonesia,Singapore,Indonesia,Singapore,0,0,Merdeka Tournament,minor_tournament,5,0.2,False,True,Kuala Lumpur,Malaysia,True
1979-07-01,Malaysia,Thailand,Malaysia,Thailand,4,2,Merdeka Tournament,minor_tournament,5,0.2,False,True,Kuala Lumpur,Malaysia,False
1979-07-01,Myanmar,Japan,Myanmar,Japan,0,1,Merdeka Tournament,minor_tournament,5,0.2,False,True,Kuala Lumpur,Malaysia,True
1979-07-01,Fiji,New Zealand,Fiji,New Zealand,0,3,Friendly,friendly,5,0.2,False,True,Lautoka,Fiji,False
1979-07-03,Myanmar,Thailand,Myanmar,Thailand,2,0,Merdeka Tournament,minor_tournament,5,0.2,False,True,Kuala Lumpur,Malaysia,True
1979-07-04,Malaysia,Indonesia,Malaysia,Indonesia,1,1,Merdeka Tournament,minor_tournament,5,0.2,False,True,Kuala Lumpur,Malaysia,False
1979-07-04,Finland,Russia,Finland,Russia,1,1,UEFA Euro qualification,continental_qualifier,4,0.55,True,True,Helsinki,Finland,False
1979-07-05,Singapore,Thailand,Singapore,Thailand,1,1,Merdeka Tournament,minor_tournament,5,0.2,False,True,Kuala Lumpur,Malaysia,True
1979-07-06,Ivory Coast,Sudan,Ivory Coast,Sudan,4,0,African Cup of Nations qualification,continental_qualifier,4,0.55,True,True,Abidjan,Ivory Coast,False
1979-07-06,Togo,Morocco,Togo,Morocco,2,1,African Cup of Nations qualification,continental_qualifier,4,0.55,True,True,Lomé,Togo,False
1979-07-06,Malawi,Kenya,Malawi,Kenya,1,0,Friendly,friendly,5,0.2,False,True,Blantyre,Malawi,False
1979-07-08,Libya,Algeria,Libya,Algeria,1,0,African Cup of Nations qualification,continental_qualifier,4,0.55,True,True,Tripoli,Libya,False
1979-07-08,DR Congo,Togo,DR Congo,Togo,4,1,Friendly,friendly,5,0.2,False,True,Kinshasa,Zaïre,False
1979-07-08,Indonesia,Thailand,Indonesia,Thailand,2,1,Merdeka Tournament,minor_tournament,5,0.2,False,True,Kuala Lumpur,Malaysia,True
1979-07-08,Malawi,Kenya,Malawi,Kenya,0,0,Friendly,friendly,5,0.2,False,True,Lilongwe,Malawi,False
1979-07-09,Malaysia,Singapore,Malaysia,Singapore,3,0,Merdeka Tournament,minor_tournament,5,0.2,False,True,Kuala Lumpur,Malaysia,False
1979-07-10,Bolivia,Paraguay,Bolivia,Paraguay,3,1,Copa Paz del Chaco,minor_tournament,5,0.2,False,True,La Paz,Bolivia,False
1979-07-11,Myanmar,Singapore,Myanmar,Singapore,4,1,Merdeka Tournament,minor_tournament,5,0.2,False,True,Kuala Lumpur,Malaysia,True
1979-07-11,Chile,Uruguay,Chile,Uruguay,1,0,Copa Juan Pinto Durán,minor_tournament,5,0.2,False,True,Santiago,Chile,False
1979-07-11,Indonesia,Japan,Indonesia,Japan,0,0,Merdeka Tournament,minor_tournament,5,0.2,False,True,Kuala Lumpur,Malaysia,True
1979-07-11,Peru,Ecuador,Peru,Ecuador,2,1,Friendly,friendly,5,0.2,False,True,Lima,Peru,False
1979-07-12,Bolivia,Paraguay,Bolivia,Paraguay,1,1,Friendly,friendly,5,0.2,False,True,Cochabamba,Bolivia,False
1979-07-13,Myanmar,Indonesia,Myanmar,Indonesia,4,0,Merdeka Tournament,minor_tournament,5,0.2,False,True,Kuala Lumpur,Malaysia,True
1979-07-13,Japan,Singapore,Japan,Singapore,3,1,Merdeka Tournament,minor_tournament,5,0.2,False,True,Kuala Lumpur,Malaysia,True
1979-07-13,Egypt,Kenya,Egypt,Kenya,3,0,African Cup of Nations qualification,continental_qualifier,4,0.55,True,True,Cairo,Egypt,False
1979-07-15,Kenya,DR Congo,Kenya,DR Congo,2,2,Friendly,friendly,5,0.2,False,True,Nairobi,Kenya,False
1979-07-15,Malawi,Tanzania,Malawi,Tanzania,2,0,Friendly,friendly,5,0.2,False,True,Blantyre,Malawi,False
1979-07-17,Malawi,Tanzania,Malawi,Tanzania,2,0,Friendly,friendly,5,0.2,False,True,Blantyre,Malawi,False
1979-07-18,Uruguay,Chile,Uruguay,Chile,2,1,Copa Juan Pinto Durán,minor_tournament,5,0.2,False,True,Montevideo,Uruguay,False
1979-07-18,Peru,Colombia,Peru,Colombia,0,1,Friendly,friendly,5,0.2,False,True,Lima,Peru,False
1979-07-18,Bolivia,Argentina,Bolivia,Argentina,2,1,Copa América,continental_finals,2,0.85,True,True,La Paz,Bolivia,False
1979-07-19,Malawi,Tanzania,Malawi,Tanzania,0,1,Friendly,friendly,5,0.2,False,True,Blantyre,Malawi,False
1979-07-20,Kyrgyzstan,Lithuania,Kyrgyzstan,Lithuania,0,0,Friendly,friendly,5,0.2,False,True,Moscow,Soviet Union,True
1979-07-21,Belarus,Armenia,Belarus,Armenia,3,0,Friendly,friendly,5,0.2,False,True,Minsk,Soviet Union,False
1979-07-22,Georgia,Lithuania,Georgia,Lithuania,5,0,Friendly,friendly,5,0.2,False,True,Moscow,Soviet Union,True
1979-07-22,Grenada,Trinidad and Tobago,Grenada,Trinidad and Tobago,0,1,CFU Caribbean Cup qualification,continental_qualifier,4,0.55,True,True,St. George's,Grenada,False
1979-07-23,Belarus,Latvia,Belarus,Latvia,2,1,Friendly,friendly,5,0.2,False,True,Minsk,Soviet Union,False
1979-07-24,Azerbaijan,Lithuania,Azerbaijan,Lithuania,0,1,Friendly,friendly,5,0.2,False,True,Moscow,Soviet Union,True
1979-07-25,Belarus,Russia,Belarus,Russia,2,3,Friendly,friendly,5,0.2,False,True,Minsk,Soviet Union,False
1979-07-25,Benin,DR Congo,Benin,DR Congo,0,1,Friendly,friendly,5,0.2,False,True,Porto-Novo,Benin,False
1979-07-25,Colombia,Peru,Colombia,Peru,1,2,Friendly,friendly,5,0.2,False,True,Bogotá,Colombia,False
1979-07-26,Bolivia,Brazil,Bolivia,Brazil,2,1,Copa América,continental_finals,2,0.85,True,True,La Paz,Bolivia,False
1979-07-26,Liberia,Ghana,Liberia,Ghana,3,1,Friendly,friendly,5,0.2,False,True,Monrovia,Liberia,False
1979-07-28,Russia,Belarus,Russia,Belarus,0,0,Friendly,friendly,5,0.2,False,True,Moscow,Soviet Union,False
1979-07-28,Benin,DR Congo,Benin,DR Congo,0,3,Friendly,friendly,5,0.2,False,True,Cotonou,Benin,False
1979-07-28,Lithuania,Ukraine,Lithuania,Ukraine,0,2,Friendly,friendly,5,0.2,False,True,Moscow,Soviet Union,True
1979-07-29,Madagascar,Tanzania,Madagascar,Tanzania,2,4,Friendly,friendly,5,0.2,False,True,Antananarivo,Madagascar,False
1979-07-30,Belarus,Ukraine,Belarus,Ukraine,0,0,Friendly,friendly,5,0.2,False,True,Moscow,Soviet Union,True
1979-07-30,Russia,Lithuania,Russia,Lithuania,2,0,Friendly,friendly,5,0.2,False,True,Moscow,Soviet Union,False
1979-08-01,Belarus,Lithuania,Belarus,Lithuania,0,2,Friendly,friendly,5,0.2,False,True,Moscow,Soviet Union,True
1979-08-01,Madagascar,Tanzania,Madagascar,Tanzania,1,0,Friendly,friendly,5,0.2,False,True,Antananarivo,Madagascar,False
1979-08-01,Paraguay,Bolivia,Paraguay,Bolivia,2,0,Copa Paz del Chaco,minor_tournament,5,0.2,False,True,Asunción,Paraguay,False
1979-08-01,Venezuela,Colombia,Venezuela,Colombia,0,0,Copa América,continental_finals,2,0.85,True,True,San Cristóbal,Venezuela,False
1979-08-02,Brazil,Argentina,Brazil,Argentina,2,1,Copa América,continental_finals,2,0.85,True,True,Rio de Janeiro,Brazil,False
1979-08-04,Trinidad and Tobago,Grenada,Trinidad and Tobago,Grenada,2,1,CFU Caribbean Cup qualification,continental_qualifier,4,0.55,True,True,San Fernando,Trinidad and Tobago,False
1979-08-04,Belarus,Kazakhstan,Belarus,Kazakhstan,0,1,Friendly,friendly,5,0.2,False,True,Moscow,Soviet Union,True
1979-08-05,Russia,Lithuania,Russia,Lithuania,2,1,Friendly,friendly,5,0.2,False,True,Moscow,Soviet Union,False
1979-08-05,DR Congo,Guinea,DR Congo,Guinea,3,2,African Cup of Nations qualification,continental_qualifier,4,0.55,True,True,Kinshasa,Zaïre,False
1979-08-08,Argentina,Bolivia,Argentina,Bolivia,3,0,Copa América,continental_finals,2,0.85,True,True,Buenos Aires,Argentina,False
1979-08-08,Ecuador,Peru,Ecuador,Peru,2,1,Friendly,friendly,5,0.2,False,True,Quito,Ecuador,False
1979-08-08,Venezuela,Chile,Venezuela,Chile,1,1,Copa América,continental_finals,2,0.85,True,True,San Cristóbal,Venezuela,False
1979-08-11,Tanzania,Zambia,Tanzania,Zambia,1,0,African Cup of Nations qualification,continental_qualifier,4,0.55,True,True,Dar es Salaam,Tanzania,False
1979-08-15,Colombia,Chile,Colombia,Chile,1,0,Copa América,continental_finals,2,0.85,True,True,Bogotá,Colombia,False
1979-08-15,Norway,Sweden,Norway,Sweden,2,0,Nordic Championship,minor_tournament,5,0.2,False,True,Oslo,Norway,False
1979-08-16,Brazil,Bolivia,Brazil,Bolivia,2,0,Copa América,continental_finals,2,0.85,True,True,São Paulo,Brazil,False
1979-08-19,Poland,Libya,Poland,Libya,5,0,Friendly,friendly,5,0.2,False,True,Słupsk,Poland,False
1979-08-19,Guinea,DR Congo,Guinea,DR Congo,3,1,African Cup of Nations qualification,continental_qualifier,4,0.55,True,True,Conakry,Guinea,False
1979-08-22,Colombia,Venezuela,Colombia,Venezuela,4,0,Copa América,continental_finals,2,0.85,True,True,Bogotá,Colombia,False
1979-08-23,Argentina,Brazil,Argentina,Brazil,2,2,Copa América,continental_finals,2,0.85,True,True,Buenos Aires,Argentina,False
