edition_date,periodId,team,team_source,rank,points,confederation
2026-04-01,20260401,Tajikistan,Tajikistan,103,1222,
2026-04-01,20260401,Madagascar,Madagascar,104,1204,
2026-04-01,20260401,Equatorial Guinea,Equatorial Guinea,105,1195,
2026-04-01,20260401,Armenia,Armenia,106,1191,
2026-04-01,20260401,Kyrgyzstan,Kyrgyzstan,107,1191,
2026-04-01,20260401,Lebanon,Lebanon,108,1188,
2026-04-01,20260401,Comoros,Comoros,109,1188,
2026-04-01,20260401,Kazakhstan,Kazakhstan,110,1183,
2026-04-01,20260401,Kenya,Kenya,111,1182,
2026-04-01,20260401,Libya,Libya,112,1182,
2026-04-01,20260401,Tanzania,Tanzania,113,1180,
2026-04-01,20260401,Niger,Niger,114,1180,
2026-04-01,20260401,Mauritania,Mauritania,115,1171,
2026-04-01,20260401,Gambia,Gambia,116,1160,
2026-04-01,20260401,Sudan,Sudan,117,1157,
2026-04-01,20260401,North Korea,North Korea,118,1151,
2026-04-01,20260401,Sierra Leone,Sierra Leone,119,1149,
2026-04-01,20260401,Namibia,Namibia,120,1149,
2026-04-01,20260401,Togo,Togo,121,1147,
2026-04-01,20260401,Indonesia,Indonesia,122,1145,
2026-04-01,20260401,Faroe Islands,Faroe Islands,123,1137,
2026-04-01,20260401,Azerbaijan,Azerbaijan,124,1137,
2026-04-01,20260401,Suriname,Suriname,125,1132,
2026-04-01,20260401,Cyprus,Cyprus,126,1128,
2026-04-01,20260401,Malawi,Malawi,127,1128,
2026-04-01,20260401,Rwanda,Rwanda,128,1127,
2026-04-01,20260401,Estonia,Estonia,129,1121,
2026-04-01,20260401,Zimbabwe,Zimbabwe,130,1118,
2026-04-01,20260401,Nicaragua,Nicaragua,131,1115,
2026-04-01,20260401,Guinea-Bissau,Guinea-Bissau,132,1108,
2026-04-01,20260401,Congo,Congo,133,1106,
2026-04-01,20260401,Kuwait,Kuwait,134,1105,
2026-04-01,20260401,Philippines,Philippines,135,1094,
2026-04-01,20260401,India,India,136,1091,
2026-04-01,20260401,Latvia,Latvia,137,1091,
2026-04-01,20260401,Malaysia,Malaysia,138,1086,
2026-04-01,20260401,Central African Republic,Central African Republic,139,1084,
2026-04-01,20260401,Liberia,Liberia,140,1079,
2026-04-01,20260401,Turkmenistan,Turkmenistan,141,1079,
2026-04-01,20260401,Burundi,Burundi,142,1078,
2026-04-01,20260401,Dominican Republic,Dominican Republic,143,1078,
2026-04-01,20260401,Ethiopia,Ethiopia,144,1072,
